id	cartype	agecat	district	y	n
1	1	0	0	65	317
2	1	0	0	65	476
3	1	1	0	52	486
4	1	1	0	310	3259
5	2	0	0	98	486
6	2	0	0	159	1004
7	2	1	0	175	1355
8	3	0	0	41	223
9	3	0	0	117	539
10	3	1	0	137	697
11	4	0	0	11	40
12	4	0	0	35	148
13	4	1	0	39	214
14	1	0	1	2	20
15	1	0	1	5	33
16	1	1	1	4	40
17	1	1	1	36	316
18	2	0	1	7	31
19	2	0	1	10	81
20	2	1	1	22	122
21	2	1	1	102	724
22	3	0	1	5	18
23	3	0	1	7	39
24	3	1	1	16	68
25	3	1	1	63	344
26	4	0	1	0	3
27	4	0	1	6	16
28	4	1	1	8	25
29	4	1	1	33	114
